#name	base	sugar	phosphate	o2group

A	adenine	ribose	default	oh
G	guanine	ribose	default	oh
C	cytosine	ribose	default	oh
U	uracil	ribose	default	oh
I	inosine	ribose	default	oh

dA	adenine	desoxyribose	default	oh
dG	guanine	desoxyribose	default	oh
dC	cytosine	desoxyribose	default	oh
dU	uracil	desoxyribose	default	oh
dT	thymine	desoxyribose	default	oh
dI	inosine	desoxyribose	default	oh

# modifications
Arp	Arp	ribose	default	oh
D	D	ribose	default	oh
Grp	Grp	ribose	default	oh
P	P	ribose	default	oh
QtRNA	QtRNA	ribose	default	oh
R	R	ribose	default	oh
Y	pseudouracil	ribose	default	oh
ac4C	ac4C	ribose	default	oh
ac6A	ac6A	ribose	default	oh
acp3U	acp3U	ribose	default	oh
G+	G+	ribose	default	oh
chm5U	chm5U	ribose	default	oh
cm5U	cm5U	ribose	default	oh
cm5s2U	cm5s2U	ribose	default	oh
cmnm5U	cmnm5U	ribose	default	oh
cmnm5s2U	cmnm5s2U	ribose	default	oh
cmnm5se2U	cmnm5se2U	ribose	default	oh
cmo5U	cmo5U	ribose	default	oh
f5C	f5C	ribose	default	oh
f5U	f5U	ribose	default	oh
f5s2C	f5s2C	ribose	default	oh
f5s2U	f5s2U	ribose	default	oh
f5se2C	f5se2C	ribose	default	oh
f5se2U	f5se2U	ribose	default	oh
g6A	g6A	ribose	default	oh
galQtRNA	galQtRNA	ribose	default	oh
gluQtRNA	gluQtRNA1	ribose	default	oh
gluQtRNA	gluQtRNA2	ribose	default	oh
hm5C	hm5C	ribose	default	oh
hn6A	hn6A	ribose	default	oh
ho5U	ho5U	ribose	default	oh
i6A	i6A	ribose	default	oh
imG2	imG2	ribose	default	oh
imG	imG	ribose	default	oh
imG-14	imG-14	ribose	default	oh
mimG	mimG	ribose	default	oh
io6A	io6A	ribose	default	oh
k2C	k2C	ribose	default	oh
m1A	m1A	ribose	default	oh
m1G	m1G	ribose	default	oh
m1I	m1I	ribose	default	oh
m1Y	m1Y	ribose	default	oh
m1acp3Y	m1acp3Y	ribose	default	oh
m22G	m22G	ribose	default	oh
m2A	m2A	ribose	default	oh
m2G	m2G	ribose	default	oh
m3C	m3C	ribose	default	oh
m3U	m3U	ribose	default	oh
m3Y	m3Y	ribose	default	oh
m44C	m44C	ribose	default	oh
m4C	m4C	ribose	default	oh
m5C	m5C	ribose	default	oh
m5D	m5D	ribose	default	oh
m5U	thymine	ribose	default	oh
m5s2U	m5s2U	ribose	default	oh
m66A	m66A	ribose	default	oh
m6A	m6A	ribose	default	oh
m6t6A	m6t6A	ribose	default	oh
m7G	m7G	ribose	default	oh
m7m22G	m7m22G	ribose	default	oh
m7m2G	m7m2G	ribose	default	oh
manQtRNA	manQtRNA	ribose	default	oh
mchm5U	mchm5U	ribose	default	oh
mcm5U	mcm5U	ribose	default	oh
mcm5s2U	mcm5s2U	ribose	default	oh
mcmo5U	mcmo5U	ribose	default	oh
mnm5U	mnm5U	ribose	default	oh
mnm5s2U	mnm5s2U	ribose	default	oh
mnm5se2U	mnm5se2U	ribose	default	oh
mo5U	mo5U	ribose	default	oh
ms2hn6A	ms2hn6A	ribose	default	oh
ms2i6A	ms2i6A	ribose	default	oh
ms2io6A	ms2io6A	ribose	default	oh
ms2m6A	ms2m6A	ribose	default	oh
ms2t6A	ms2t6A	ribose	default	oh
ncm5U	ncm5U	ribose	default	oh
nm5U	nm5U	ribose	default	oh
nm5s2U	nm5s2U	ribose	default	oh
