triple,instances,clashes,near,exists,contacts_bo,contacts_no_bk,contacts_rpr,clashscore_rpr,clashscore_no_bk,clashscore_bo,,,
cSW_cSH_CAA,0,4,0,1,2,4,5,30,12.2,0,,,
cSW_cSH_CAG,0,7,0,1,1,2,2,0,0,0,,,
cSW_tHW_CAA,0,0,0,1,3,4,4,0,0,0,,,
cSW_tHW_CAC,0,13,0,1,3,4,4,132.65,112.5,0,,,
cSW_tSS_CAA,0,0,0,1,1,2,3,0,0,0,,,
cSW_tSS_CAG,0,1,0,1,1,2,2,9.9,0,0,,,
cSW_tSW_UGC,0,21,0,1,4,4,4,10.42,0,0,,,
cWH_cSH_UGC,0,0,0,1,1,1,2,0,0,0,,,
cWW_cSH_UGC,0,1,0,1,3,3,3,0,0,0,,,
cWW_tHS_CAA,0,8,0,1,2,2,2,0,0,0,,,
cWW_tHS_CAC,0,21,0,1,2,4,4,163.27,200,0,,,
cWW_tSW_CAC,0,0,0,1,2,2,2,0,0,0,,,
tHH_cSH_CAC,0,1,0,1,2,2,2,0,0,0,,,
tHH_tSS_CAC,0,0,0,1,1,3,3,0,0,0,,,
tSH_tSW_CAC,0,0,0,1,2,3,3,0,0,0,,,
tSW_cSH_UGC,0,1,1,1,2,3,3,0,0,0,,,
tSW_tHS_CAA,0,97,0,1,2,5,5,112.24,25,0,,,
tSW_tHS_CAC,0,86,0,1,2,4,4,72.16,37.97,0,,,
tSW_tHS_CUG,0,0,0,1,2,2,2,0,0,0,,,
tWH_cSH_CAA,0,4,0,1,3,4,5,30,12.2,0,,,
tWH_cSH_CAG,0,7,0,1,2,2,2,0,0,0,,,
tWH_tSW_UGC,0,1,0,1,3,5,5,10.2,12.5,0,,,
tWW_cSH_CAC,0,1,0,1,3,3,3,0,0,0,,,
tWW_tHW_CAA,0,0,0,1,4,4,4,0,0,0,,,
tWW_tHW_CAC,0,13,0,1,4,4,4,132.65,112.5,0,,,
tWW_tHW_CUG,0,0,0,1,4,4,4,0,0,0,,,
tWW_tSS_CAA,0,0,0,1,2,2,3,0,0,0,,,
tWW_tSS_CAG,0,1,0,1,2,4,4,9.9,12.05,0,,,
tWW_tSW_UGC,0,16,0,1,4,4,3,30.61,37.5,0,,,
tHH_tSS_GCA,4,0,0,1,1,2,2,0,0,0,,,
cHH_cSH_AGA,0,1,0,1,2,0,2,9.71,11.76,23.26,,,
cHH_cSH_AGC,0,0,0,1,1,1,1,0,0,0,,,
cHH_cSH_AGG,0,0,0,1,2,2,2,0,0,0,,,
cHH_cSH_AGU,0,0,0,1,2,2,2,0,0,0,,,
cHH_cSH_CGA,0,3,0,1,1,1,1,19.8,24.1,24.39,,,
