fn,rmsd
Triple_cWW_cHS_GCU_exemplar_rpr.pdb,0.0
Triple_cWW_cHS_GCU_rpr.pdb,1.72
Triple_cWW_cSH_GUC_rpr.pdb,1.94
Triple_tWW_cHW_UGC_rpr.pdb,2.55
Triple_tWW_cSS_GCU_rpr.pdb,2.62
Triple_tHW_cHS_GCU_rpr.pdb,2.66
Triple_tSW_cSH_GUC_rpr.pdb,2.78
Triple_tWW_tSW_CGU_rpr.pdb,2.87
Triple_tWW_cSW_UCG_rpr.pdb,2.92
Triple_tSW_cSW_UCG_rpr.pdb,2.92
Triple_cWW_tHH_GCU_rpr.pdb,3.01
Triple_cWW_tSW_UGC_exemplar_rpr.pdb,3.02
Triple_cSW_cSW_UGC_rpr.pdb,3.02
Triple_cWW_cSS_GUC_rpr.pdb,3.03
Triple_cWW_tHH_GCU_exemplar_rpr.pdb,3.03
Triple_tWW_cSH_GUC_rpr.pdb,3.07
Triple_cSW_cHS_GCU_rpr.pdb,3.17
Triple_cWW_cSW_GUC_rpr.pdb,3.17
Triple_cWW_cSW_UCG_rpr.pdb,3.19
Triple_tWW_tSW_GUC_rpr.pdb,3.22
Triple_tSH_cSW_UCG_rpr.pdb,3.25
Triple_tSW_cHS_GCU_rpr.pdb,3.34
Triple_tWW_tSH_CGU_rpr.pdb,3.35
Triple_cHW_cSH_GUC_rpr.pdb,3.35
Triple_tHW_tSW_GUC_rpr.pdb,3.36
Triple_cWW_tSH_GUC_rpr.pdb,3.38
Triple_cWW_cSW_UGC_rpr.pdb,3.41
Triple_tWW_cSH_GCU_rpr.pdb,3.44
Triple_cWW_tHS_GCU_rpr.pdb,3.46
Triple_tWW_cHS_GCU_rpr.pdb,3.46
Triple_cSW_cSW_UCG_rpr.pdb,3.47
Triple_tWW_tSW_UCG_rpr.pdb,3.47
Triple_cWW_tSW_GUC_rpr.pdb,3.48
Triple_tSW_cSS_GUC_exemplar_rpr.pdb,3.48
Triple_tSW_tsS_UCG_rpr.pdb,3.48
Triple_tSW_cSS_GUC_rpr.pdb,3.48
Triple_tHH_cSW_UCG_rpr.pdb,3.48
Triple_cWW_tSW_CGU_exemplar_rpr.pdb,3.48
Triple_cWW_cSS_GCU_rpr.pdb,3.51
Triple_cWW_tSW_CGU_rpr.pdb,3.51
Triple_tWW_tSH_GUC_rpr.pdb,3.53
Triple_cHW_cSS_GCU_rpr.pdb,3.55
Triple_tSW_tHW_CGU_rpr.pdb,3.56
Triple_tWW_cHH_UGC_rpr.pdb,3.57
Triple_tHH_cSW_GCU_rpr.pdb,3.59
Triple_tSW_tSW_CGU_rpr.pdb,3.59
Triple_cWW_cSS_GCU_exemplar_rpr.pdb,3.6
Triple_cWW_tSW_UGC_rpr.pdb,3.6
Triple_cSW_tHH_UCG_rpr.pdb,3.63
Triple_tWW_cSS_GUC_rpr.pdb,3.66
Triple_tHW_tSH_GUC_rpr.pdb,3.66
Triple_tWW_tHH_GUC_rpr.pdb,3.66
Triple_tWW_tHH_UGC_rpr.pdb,3.66
