fn,rmsd
Triple_cWW_cHS_GCU_exemplar_rpr.pdb,0.0
Triple_cWW_cHS_GCU_rpr.pdb,1.72
Triple_tWW_cSS_GCU_rpr.pdb,2.62
Triple_tHW_cHS_GCU_rpr.pdb,2.66
Triple_cWW_tHH_GCU_rpr.pdb,3.01
Triple_cWW_tHH_GCU_exemplar_rpr.pdb,3.03
Triple_cSW_cHS_GCU_rpr.pdb,3.17
Triple_tSW_cHS_GCU_rpr.pdb,3.34
Triple_tWW_cSH_GCU_rpr.pdb,3.44
Triple_tWW_cHS_GCU_rpr.pdb,3.46
Triple_cWW_tHS_GCU_rpr.pdb,3.46
Triple_cWW_cSS_GCU_rpr.pdb,3.51
Triple_cHW_cSS_GCU_rpr.pdb,3.55
Triple_tHH_cSW_GCU_rpr.pdb,3.59
Triple_cWW_cSS_GCU_exemplar_rpr.pdb,3.6
Triple_tWW_tHS_GCU_rpr.pdb,3.66
Triple_tSW_cSW_GCU_rpr.pdb,3.68
Triple_tWW_tHH_GCU_rpr.pdb,3.69
Triple_tHW_cSW_GCU_rpr.pdb,3.7
Triple_cSW_tHH_GCU_rpr.pdb,3.74
Triple_cWW_cSW_GCU_rpr.pdb,3.78
Triple_cSW_cSS_GCU_rpr.pdb,3.84
Triple_cSW_cSW_GCU_rpr.pdb,3.86
Triple_cWW_cSH_GCU_rpr.pdb,3.97
Triple_cWW_cSH_GCU_exemplar_rpr.pdb,4.0
Triple_tWW_cSW_GCU_rpr.pdb,4.06
Triple_cSW_tHS_GCU_rpr.pdb,4.07
Triple_tHW_tHH_GCU_rpr.pdb,4.07
Triple_cHW_cHS_GCU_rpr.pdb,4.07
Triple_tHH_tSW_GCU_rpr.pdb,4.09
Triple_tHW_tHS_GCU_rpr.pdb,4.13
Triple_tSW_tSW_GCU_rpr.pdb,4.15
Triple_cSW_cSH_GCU_rpr.pdb,4.22
Triple_cWW_cSW_GCU_exemplar_rpr.pdb,4.25
Triple_tSW_tHH_GCU_rpr.pdb,4.27
Triple_cHW_tHH_GCU_rpr.pdb,4.34
Triple_tSW_cSS_GCU_rpr.pdb,4.35
Triple_cHW_tHS_GCU_rpr.pdb,4.37
Triple_tHH_cSS_GCU_rpr.pdb,4.42
Triple_tHW_tSW_GCU_rpr.pdb,4.43
Triple_tHW_cSS_GCU_rpr.pdb,4.44
Triple_cSW_tSW_GCU_rpr.pdb,4.52
Triple_tHH_cSH_GCU_rpr.pdb,4.52
Triple_tSW_cSH_GCU_rpr.pdb,4.58
Triple_tHW_cSH_GCU_rpr.pdb,4.65
Triple_cSH_cSW_GCU_rpr.pdb,4.67
Triple_cHW_cSH_GCU_rpr.pdb,4.69
Triple_cWW_tSW_GCU_rpr.pdb,4.69
Triple_cSH_tSW_GCU_rpr.pdb,4.92
Triple_cHH_cSW_GCU_rpr.pdb,5.04
Triple_cHH_cSH_GCU_rpr.pdb,5.05
Triple_cHH_tSW_GCU_rpr.pdb,5.07
Triple_cHW_cSW_GCU_rpr.pdb,5.15
Triple_cHH_cSS_GCU_rpr.pdb,5.2
Triple_tSW_tHS_GCU_rpr.pdb,5.43
Triple_tWW_tSW_GCU_rpr.pdb,5.54
Triple_cSH_cSH_GCU_rpr.pdb,5.78
Triple_cSH_cSS_GCU_rpr.pdb,5.88
Triple_cHW_tSW_GCU_rpr.pdb,5.9
