fn,rmsd
Triple_cSW_tHH_UAU_rpr.pdb,0.27
Triple_tSW_tHH_GUC_rpr.pdb,0.47
Triple_tHW_tHW_AUG_rpr.pdb,0.48
Triple_cSW_tHH_AAU_rpr.pdb,0.48
Triple_cSW_tHH_CAU_rpr.pdb,0.49
Triple_tWW_tHH_UCU_rpr.pdb,0.5
Triple_cSW_tHH_CGA_rpr.pdb,0.55
Triple_tSW_tHW_UUG_rpr.pdb,0.55
Triple_cSW_tHH_UAG_rpr.pdb,0.56
Triple_cSW_tHW_AAA_rpr.pdb,0.57
Triple_cHW_tHH_AUA_rpr.pdb,0.59
Triple_tSW_tHW_CUG_rpr.pdb,0.59
Triple_cSW_tHW_UAA_rpr.pdb,0.6
Triple_cSW_cHH_CAG_rpr.pdb,0.61
Triple_tWW_tHH_CCU_rpr.pdb,0.63
Triple_tSW_tHH_GUA_rpr.pdb,0.64
Triple_cSW_tHH_UCU_rpr.pdb,0.66
Triple_cSW_cHH_AAG_rpr.pdb,0.66
Triple_cSW_cHH_GGA_rpr.pdb,0.67
Triple_cWW_tHH_AUA_rpr.pdb,0.67
Triple_cSW_tHH_UGA_rpr.pdb,0.67
Triple_tHW_tHW_GGA_rpr.pdb,0.67
Triple_tWW_tHW_CGA_rpr.pdb,0.7
Triple_cSW_cHH_UAG_rpr.pdb,0.71
Triple_tSW_tHW_UGA_rpr.pdb,0.72
Triple_tWW_tHH_CUC_rpr.pdb,0.73
Triple_cSW_tHH_GAU_rpr.pdb,0.73
Triple_cSW_tHW_GAA_rpr.pdb,0.73
Triple_cSW_tHH_GCU_rpr.pdb,0.74
Triple_cSW_tHH_AGA_rpr.pdb,0.74
Triple_tSW_cHW_AUA_rpr.pdb,0.74
Triple_cSW_cHH_GAG_rpr.pdb,0.74
Triple_tSW_tHH_UUC_rpr.pdb,0.75
Triple_cSW_tHH_CAG_rpr.pdb,0.75
Triple_cSW_tHH_AAG_rpr.pdb,0.75
Triple_cHW_tHH_UUA_rpr.pdb,0.76
Triple_cSW_tHH_CCU_rpr.pdb,0.79
Triple_cSW_tHH_ACU_rpr.pdb,0.79
Triple_cWW_tHH_CAU_rpr.pdb,0.8
Triple_tSW_cHW_CGG_rpr.pdb,0.81
Triple_cWW_tHH_AUA_exemplar_rpr.pdb,0.82
Triple_tHW_cHW_GUA_rpr.pdb,0.83
Triple_cHW_tHS_AUG_rpr.pdb,0.85
Triple_tSW_cHW_UGG_rpr.pdb,0.85
Triple_tSW_tSH_CGG_rpr.pdb,0.85
Triple_tSW_cHW_CUA_rpr.pdb,0.86
Triple_cWW_tHS_UUA_rpr.pdb,0.87
Triple_cHW_tHS_AUA_exemplar_rpr.pdb,0.88
Triple_cSW_tHH_GAG_rpr.pdb,0.89
Triple_cSW_tHS_CGG_rpr.pdb,0.89
Triple_tSW_tSH_UGG_rpr.pdb,0.9
Triple_cWW_cHH_UGA_rpr.pdb,0.9
Triple_cWW_tHH_CAG_rpr.pdb,0.9
Triple_tSW_tHW_CGA_rpr.pdb,0.94
Triple_cHW_tHH_GUA_rpr.pdb,0.95
Triple_cHW_tHS_GUG_rpr.pdb,0.95
Triple_cSW_tHW_GGC_rpr.pdb,0.95
Triple_cSW_tSH_UAU_rpr.pdb,0.96
Triple_cWW_tHS_UUG_rpr.pdb,0.96
Triple_cSW_tSH_CAU_rpr.pdb,0.96
Triple_cSW_tHS_AGG_rpr.pdb,0.96
Triple_cSW_tSH_AAU_rpr.pdb,0.98
Triple_cSW_tSH_GGU_rpr.pdb,0.99
Triple_tSW_tHW_GUU_rpr.pdb,0.99
Triple_tWW_tHH_AUC_rpr.pdb,1.0
Triple_cWW_tHW_UGA_exemplar_rpr.pdb,1.02
Triple_cHW_tHS_UUG_rpr.pdb,1.02
Triple_cSW_cHH_CGA_rpr.pdb,1.02
Triple_tHW_tHW_UUG_rpr.pdb,1.03
Triple_cSW_tHS_UGG_rpr.pdb,1.03
Triple_cWW_tHH_CGA_rpr.pdb,1.03
Triple_tWW_cHH_CGA_rpr.pdb,1.03
Triple_cHW_tHS_UUA_rpr.pdb,1.03
Triple_cSW_tHW_CGC_rpr.pdb,1.03
Triple_cWW_tHH_AUC_rpr.pdb,1.03
Triple_tHW_tHH_AUC_rpr.pdb,1.04
Triple_cSW_tHH_UUA_rpr.pdb,1.04
Triple_cHW_tHH_AUC_rpr.pdb,1.06
Triple_cSW_cHH_UGA_rpr.pdb,1.06
Triple_cWW_tHH_GCA_exemplar_rpr.pdb,1.07
Triple_cWW_tHW_UGA_rpr.pdb,1.07
Triple_tSW_tHW_CGG_rpr.pdb,1.08
Triple_cHW_tHS_AUA_rpr.pdb,1.08
Triple_tSW_tHW_GUG_rpr.pdb,1.08
Triple_tWW_tHW_UAA_rpr.pdb,1.08
Triple_tHW_tHH_ACU_rpr.pdb,1.09
Triple_tSW_tHW_UUU_rpr.pdb,1.09
Triple_cSW_tHH_CUA_rpr.pdb,1.09
Triple_tSW_tSW_GUA_rpr.pdb,1.09
Triple_tWW_cHH_UAG_rpr.pdb,1.09
Triple_cWW_tHS_GUA_exemplar_rpr.pdb,1.11
Triple_cSW_tHH_CAC_rpr.pdb,1.12
Triple_cWW_tHS_CGG_exemplar_rpr.pdb,1.12
Triple_tSW_tSW_UUA_rpr.pdb,1.12
Triple_cHW_tHH_UUC_rpr.pdb,1.13
Triple_tWW_tSH_CGG_rpr.pdb,1.13
Triple_cWW_tHH_GUA_rpr.pdb,1.13
Triple_cSW_tHH_GGA_rpr.pdb,1.13
Triple_tWW_tHH_UAU_rpr.pdb,1.13
Triple_cSW_tHW_UGC_rpr.pdb,1.13
Triple_cSW_tSH_GAU_rpr.pdb,1.13
Triple_cSW_tHH_UAA_rpr.pdb,1.14
Triple_tHW_tHH_GCU_rpr.pdb,1.15
Triple_cSW_tHH_AAC_rpr.pdb,1.15
Triple_cSW_cHW_GAG_rpr.pdb,1.15
Triple_tWW_cHW_UUA_rpr.pdb,1.15
Triple_cWW_tHS_GUG_rpr.pdb,1.16
Triple_tSW_tHW_AUG_rpr.pdb,1.16
Triple_cWW_tHW_CUG_rpr.pdb,1.16
Triple_cWW_tHH_CGC_exemplar_rpr.pdb,1.17
Triple_cWW_cHH_CGA_rpr.pdb,1.17
Triple_cSW_tHH_CCG_rpr.pdb,1.17
Triple_cSW_tHH_ACG_rpr.pdb,1.17
Triple_tSW_tHW_UGG_rpr.pdb,1.17
Triple_cSW_tHH_UAC_rpr.pdb,1.17
Triple_cWW_tHW_CAC_exemplar_rpr.pdb,1.17
Triple_cWW_tSH_UGU_rpr.pdb,1.17
Triple_cWW_tHH_CCG_rpr.pdb,1.18
Triple_cSW_tHH_GAC_rpr.pdb,1.19
Triple_tHW_tHH_CCU_rpr.pdb,1.19
Triple_cWW_tHS_CGG_rpr.pdb,1.19
Triple_cWW_tHW_CAC_rpr.pdb,1.19
Triple_cSW_tHH_CCA_rpr.pdb,1.2
Triple_tWW_tHW_AUG_rpr.pdb,1.21
Triple_tWW_tHW_CUU_rpr.pdb,1.22
Triple_tSW_tHH_UUA_rpr.pdb,1.22
Triple_tWW_tSH_CGU_rpr.pdb,1.23
